model,n_hours,feasible_hours,infeasible_hours,under_generation_hours,under_generation_rate,total_under_generation_mw,max_under_generation_mw,total_over_generation_mw,max_over_generation_mw,total_dispatch_cost,total_oracle_dispatch_cost,total_cost_gap,mean_cost_gap,mean_abs_zone_error_after_dispatch_mw,rmse_zone_error_after_dispatch_mw,bias_zone_error_after_dispatch_mw
Persistence,8146.0,8146.0,0.0,3902.0,0.4790081021360177,1519251.737,3425.018,1511968.314,3913.5740000000005,1641770699.1950002,1640886841.1687503,883858.0262499945,108.50209013626252,372.11147201080286,632.4028853985615,-0.8941103609133328
OLS,8146.0,8146.0,0.0,2525.0,0.3099680824944758,769260.2978934204,2691.906646271469,2274266.3098168196,3715.695040380793,1706974626.4494848,1640886841.1687503,66087785.28073456,8112.912506841954,373.6222204407365,575.0542193648798,184.75399115190268
Ridge,8146.0,8146.0,0.0,2524.0,0.30984532285784433,769272.1771385999,2691.960539186446,2274246.3279703166,3715.6577081741743,1706973140.876052,1640886841.1687503,66086299.70730175,8112.730138387154,373.6212257683424,575.0538849374516,184.75007989586504
Lasso,8146.0,8146.0,0.0,2986.0,0.36656027498158605,1000412.3523699974,2935.4423966775576,1868103.5688277956,3617.5555545277857,1676109421.2098248,1640886841.1687503,35222580.04107475,4323.9111270654,352.1379721578434,557.4109479598026,106.51745844068232
