model,mae,rmse,mape,bias,n
Persistence,235.36096268824454,434.43407862058694,7.693840709617174,-0.545697385180196,13347.0
OLS,250.26046533506104,404.0055265707918,34.9961339550399,111.26171926716454,13347.0
Ridge,250.25995973321474,404.00540577716043,34.99602027732254,111.25931359377903,13347.0
Lasso,238.80388916975755,395.9840038931171,34.00801019045765,63.21893087012196,13347.0
