model,pre_constraint_layer_rmse,pre_constraint_layer_mae,pre_constraint_layer_mape,pre_constraint_layer_bias,post_constraint_layer_under_generation_rate,post_constraint_layer_total_under_generation_mw,post_constraint_layer_total_over_generation_mw,post_constraint_layer_total_dispatch_cost,post_constraint_layer_total_cost_gap
Persistence,434.43407862058694,235.36096268824454,7.693840709617174,-0.545697385180196,0.4790081021360177,1519251.737,1511968.314,1641770699.1950002,883858.0262499945
OLS,404.0055265707918,250.26046533506104,34.9961339550399,111.26171926716454,0.3099680824944758,769260.2978934204,2274266.3098168196,1706974626.4494848,66087785.28073456
Ridge,404.00540577716043,250.25995973321474,34.99602027732254,111.25931359377903,0.30984532285784433,769272.1771385999,2274246.3279703166,1706973140.876052,66086299.70730175
Lasso,395.9840038931171,238.80388916975755,34.00801019045765,63.21893087012196,0.36656027498158605,1000412.3523699974,1868103.5688277956,1676109421.2098248,35222580.04107475
