model,pre_constraint_layer_rmse,pre_constraint_layer_mae,pre_constraint_layer_mape,pre_constraint_layer_bias,post_constraint_layer_under_generation_rate,post_constraint_layer_over_generation_rate,post_constraint_layer_total_under_generation_mwh,post_constraint_layer_total_over_generation_mwh,post_constraint_layer_total_base_generator_cost,post_constraint_layer_total_penalty_cost,post_constraint_layer_total_operational_cost,post_constraint_layer_total_constraint_regret
Persistence,434.43407862058694,235.36096268824454,7.693840709617174,-0.545697385180196,0.4790081021360177,0.5130125214829364,1519251.737,1511968.314,1641770699.1950002,835224284.2,2476994983.3950005,836108142.22625
OLS,404.0055265707902,250.26046533506,34.99613395504142,111.26171926716262,0.3099680824944758,0.6900319175055242,769260.2978934264,2274266.3098167987,1706974626.4494853,498343464.4375531,2205318090.887038,564431249.718288
Neural Network,393.2846810113147,224.6009328247111,8.249505699679114,116.33315282524394,0.3001473115639578,0.6998526884360422,642268.2155874933,2194966.806346024,1710897570.9199057,430882448.11104786,2141780019.0309534,500893177.8622035
Neural Network + Weather,416.3256093779878,247.44379359483904,9.766503009565733,107.39532192117242,0.3501104836729683,0.6498895163270316,849187.3070282303,2282596.3847249276,1708460841.7555685,538723472.7503614,2247184314.50593,606297473.3371798
Ridge,404.00540577715606,250.25995973320482,34.996020277318415,111.25931359376061,0.30984532285784433,0.6901546771421556,769272.1771386686,2274246.3279701346,1706973140.8760405,498348404.967841,2205321545.8438816,564434704.6751314
Lasso,403.08204106675333,249.01779052286372,34.885528501078355,106.67112097763878,0.3156150257795237,0.6843849742204763,789967.5799957069,2234150.32208658,1704035244.3187835,506691306.1021824,2210726550.420966,569839709.2522159
