model,mae,rmse,mape,bias,n
Persistence,235.36096268824454,434.43407862058694,7.693840709617174,-0.545697385180196,13347.0
OLS,250.26046533506,404.0055265707902,34.99613395504142,111.26171926716262,13347.0
Neural Network,209.74124116796204,367.96191782977644,16.715120498450922,59.46505839598872,13347.0
Neural Network + Weather,213.05174541854151,357.4403127823875,22.42230967004451,17.806532248879616,13347.0
Ridge,250.25995973320482,404.00540577715606,34.996020277318415,111.25931359376061,13347.0
Lasso,249.01779052286372,403.08204106675333,34.885528501078355,106.67112097763878,13347.0
